strain,accession,originating_lab,submitting_lab
A/Parana/490/2017,EPI1183700,laboratório_central_do_estado_do_paraná___lacen/pr,who_collaborating_centre_for_reference_and_research_on_influenza
A/Brazil/491/2017,EPI1048989,instituto_oswaldo_cruz_fiocruz___laboratory_of_respiratory_viruses_and_measles_(lvrs),centers_for_disease_control_and_prevention
A/Argentina/2169/2017,EPI1058141,instituto_nacional_de_enfermedades_infecciosas,centers_for_disease_control_and_prevention
A/Bolivia/1679/2017,EPI1088156,instituto_nacional_de_laboratoriosde_salud_(inlasa),centers_for_disease_control_and_prevention
A/Argentina/367/2017,EPI1048037,instituto_nacional_de_enfermedades_infecciosas,centers_for_disease_control_and_prevention
A/Bolivia/1729/2017,EPI1088140,instituto_nacional_de_laboratoriosde_salud_(inlasa),centers_for_disease_control_and_prevention
A/Calama/56093/2017,EPI1049340,instituto_de_salud_publica_de_chile_,centers_for_disease_control_and_prevention
A/Bolivia/1628/2017,EPI1088148,instituto_nacional_de_laboratoriosde_salud_(inlasa),centers_for_disease_control_and_prevention
A/Argentina/747/2017,EPI1047997,instituto_nacional_de_enfermedades_infecciosas,centers_for_disease_control_and_prevention
A/Brazil/492/2017,EPI1049003,instituto_oswaldo_cruz_fiocruz___laboratory_of_respiratory_viruses_and_measles_(lvrs),centers_for_disease_control_and_prevention
A/Argentina/746/2017,EPI1048005,instituto_nacional_de_enfermedades_infecciosas,centers_for_disease_control_and_prevention
A/Colombia/5131/2017,EPI1058285,instituto_nacional_de_salud_de_columbia,centers_for_disease_control_and_prevention
A/Uruguay/375/2017,EPI1048867,departamento_de_laboratorio_de_salud_pública_(dlsp),centers_for_disease_control_and_prevention
A/Colombia/5133/2017,EPI1058293,instituto_nacional_de_salud_de_columbia,centers_for_disease_control_and_prevention
A/Brazil/9114/2017,EPI1047862,instituto_adolfo_lutz,centers_for_disease_control_and_prevention
A/Argentina/13010/2017,EPI1106885,cemic_university_hospital,centers_for_disease_control_and_prevention
A/Argentina/2170/2017,EPI1059890,instituto_nacional_de_enfermedades_infecciosas,centers_for_disease_control_and_prevention
A/Argentina/558/2017,EPI1048045,instituto_nacional_de_enfermedades_infecciosas,centers_for_disease_control_and_prevention
A/Peru/817/2017,EPI1039073,us_namru_6,centers_for_disease_control_and_prevention
A/Peru/1617/2017,EPI1039081,us_namru_6,centers_for_disease_control_and_prevention
A/Peru/6917/2017,EPI1039057,us_namru_6,centers_for_disease_control_and_prevention
A/Peru/8317/2017,EPI1039025,us_namru_6,centers_for_disease_control_and_prevention
A/Peru/8817/2017,EPI1039049,us_namru_6,centers_for_disease_control_and_prevention
A/Uruguay/165/2017,EPI1047703,departamento_de_laboratorio_de_salud_pública_(dlsp),centers_for_disease_control_and_prevention
